,city,coordinates,country,humidity,max_temp,pressure,wind_speed,cloudiness,lon,lat
0,Saint Paul Harbor,"{'lon': -152.4072, 'lat': 57.79}",US,86,42.66,993,6.4,46,-152.4072,57.79
1,Castro,"{'lon': -50.0119, 'lat': -24.7911}",BR,99,54.48,1019,5.93,97,-50.0119,-24.7911
2,Jamestown,"{'lon': -79.2353, 'lat': 42.097}",US,99,51.12,1014,3.0,90,-79.2353,42.097
3,Qui Nhon,"{'lon': 109.2333, 'lat': 13.7667}",VN,87,78.91,1014,20.85,100,109.2333,13.7667
4,Elliot,"{'lon': 27.85, 'lat': -31.3333}",ZA,90,39.51,1025,2.35,3,27.85,-31.3333
5,Pevek,"{'lon': 170.3133, 'lat': 69.7008}",RU,91,8.02,1008,4.47,100,170.3133,69.7008
6,Bengkulu,"{'lon': 102.2655, 'lat': -3.8004}",ID,94,74.7,1013,1.48,100,102.2655,-3.8004
7,Cape Town,"{'lon': 18.4232, 'lat': -33.9258}",ZA,68,59.41,1022,4.0,0,18.4232,-33.9258
8,São Miguel do Iguaçu,"{'lon': -54.2378, 'lat': -25.3481}",BR,87,63.61,1018,2.84,0,-54.2378,-25.3481
9,Inhambane,"{'lon': 35.3833, 'lat': -23.865}",MZ,88,73.0,1019,4.23,100,35.3833,-23.865
10,Ushuaia,"{'lon': -68.3, 'lat': -54.8}",AR,69,35.26,969,17.27,75,-68.3,-54.8
11,Nikolskoye,"{'lon': 30.7861, 'lat': 59.7035}",RU,84,35.87,1021,10.74,100,30.7861,59.7035
12,Coquimbo,"{'lon': -71.3436, 'lat': -29.9533}",CL,82,58.73,1014,3.44,0,-71.3436,-29.9533
13,Port Alfred,"{'lon': 26.891, 'lat': -33.5906}",ZA,79,56.77,1024,11.03,0,26.891,-33.5906
14,Sitka,"{'lon': -135.33, 'lat': 57.0531}",US,53,49.89,986,0.0,40,-135.33,57.0531
15,Butaritari,"{'lon': 172.7902, 'lat': 3.0707}",KI,72,82.04,1009,3.09,3,172.7902,3.0707
16,Springbok,"{'lon': 17.8865, 'lat': -29.6643}",ZA,35,54.95,1017,8.12,0,17.8865,-29.6643
17,Ribeira Grande,"{'lon': -28.7, 'lat': 38.5167}",PT,72,66.18,1030,2.98,16,-28.7,38.5167
18,Torbay,"{'lon': -52.7314, 'lat': 47.6666}",CA,87,54.57,995,28.77,90,-52.7314,47.6666
19,Bredasdorp,"{'lon': 20.0403, 'lat': -34.5322}",ZA,87,51.28,1024,2.3,0,20.0403,-34.5322
20,Hermanus,"{'lon': 19.2345, 'lat': -34.4187}",ZA,78,53.91,1023,9.69,0,19.2345,-34.4187
21,Rikitea,"{'lon': -134.9692, 'lat': -23.1203}",PF,77,74.8,1016,16.08,19,-134.9692,-23.1203
22,Jaruco,"{'lon': -82.0108, 'lat': 23.0431}",CU,87,78.03,1016,5.57,98,-82.0108,23.0431
23,Kavieng,"{'lon': 150.7967, 'lat': -2.5744}",PG,70,84.4,1010,10.67,22,150.7967,-2.5744
24,Samarai,"{'lon': 150.6667, 'lat': -10.6167}",PG,70,83.86,1011,11.59,16,150.6667,-10.6167
25,Vaini,"{'lon': -175.2, 'lat': -21.2}",TO,78,78.96,1016,13.8,20,-175.2,-21.2
26,Tiksi,"{'lon': 128.8694, 'lat': 71.6872}",RU,100,-0.11,1004,3.42,93,128.8694,71.6872
27,Atuona,"{'lon': -139.0333, 'lat': -9.8}",PF,73,78.13,1012,18.14,7,-139.0333,-9.8
28,Nouadhibou,"{'lon': -17.0347, 'lat': 20.931}",MR,68,71.58,1017,13.8,100,-17.0347,20.931
29,Punta Arenas,"{'lon': -70.9167, 'lat': -53.15}",CL,60,39.31,974,12.66,75,-70.9167,-53.15
30,Hobart,"{'lon': 147.3294, 'lat': -42.8794}",AU,75,56.05,1018,3.0,75,147.3294,-42.8794
31,Honiara,"{'lon': 159.95, 'lat': -9.4333}",SB,74,84.63,1010,3.31,69,159.95,-9.4333
32,Conselheiro Pena,"{'lon': -41.4722, 'lat': -19.1722}",BR,94,74.48,1015,1.07,100,-41.4722,-19.1722
33,Cherskiy,"{'lon': 161.3, 'lat': 68.75}",RU,94,-8.09,1007,3.4,39,161.3,68.75
34,Saint George,"{'lon': -113.5841, 'lat': 37.1041}",US,38,68.95,1011,1.01,1,-113.5841,37.1041
35,Boysun,"{'lon': 67.1986, 'lat': 38.2061}",UZ,19,45.25,1017,2.57,0,67.1986,38.2061
36,Avarua,"{'lon': -159.775, 'lat': -21.2078}",CK,53,77.05,1015,13.8,75,-159.775,-21.2078
37,Boguchany,"{'lon': 97.4531, 'lat': 58.3814}",RU,85,38.3,1015,10.33,96,97.4531,58.3814
38,Cabo San Lucas,"{'lon': -109.9124, 'lat': 22.8909}",MX,69,82.62,1011,6.91,20,-109.9124,22.8909
39,Malko Tarnovo,"{'lon': 27.5333, 'lat': 41.9833}",BG,86,40.98,1032,5.39,41,27.5333,41.9833
